MasterID,7et Problem,4c pickup,6et pickup,6e pickup,6eStar pickup,NEW
02232,04.01.01,04.02.01, , , ,
02233,04.01.02a,04.02.02a, , , ,
04940,04.01.02b,04.02.02b, , , ,
80278,04.01.03,04.02.03, , , ,
80279,04.01.04,04.02.04, , , ,
80280,04.01.05,04.02.05, , , ,
80281,04.01.06,04.02.06, , , ,
02239,04.01.07,04.02.07, , , ,
02240,04.01.08,04.02.08, , , ,
02241,04.01.09,04.02.09, , , ,
02242,04.01.10,04.02.10, , , ,
02247,04.01.11a,04.02.11a, , , ,
04941,04.01.11b,04.02.11b, , , ,
04942,04.01.11c,04.02.11c, , , ,
02248,04.01.12a,04.02.12a, , , ,
04943,04.01.12b,04.02.12b, , , ,
02249,04.01.13a,04.02.13a, , , ,
04944,04.01.13b,04.02.13b, , , ,
02250,04.01.14a,04.02.14a, , , ,
04945,04.01.14b,04.02.14b, , , ,
82000,04.01.15,04.02.15, , , ,
82001,04.01.16,04.02.16, , , ,
82827,04.01.17,..,..,..,..,new
82828,04.01.18,..,..,..,..,new
82829,04.01.19,..,..,..,..,new
82830,04.01.20,..,..,..,..,new
82831,04.01.21,..,..,..,..,new
80283,04.01.22,04.02.20, , , ,
80282,04.01.23,04.02.19, , , ,
82832,04.01.24,..,..,..,..,new
02264,04.01.25,04.02.21, , , ,
02255,04.01.26,04.02.18, , , ,
02266,04.01.27,..,04.01.27, , ,
30181,04.01.28,04.02.22, , , ,
82002,04.01.29,04.02.23, , , ,
82003,04.01.30,04.02.24, , , ,
82833,04.01.31,..,..,..,..,new
82834,04.01.32,..,..,..,..,new
82835,04.01.33,..,..,..,..,new
02284,04.01.34,04.02.28, , , ,
30182,04.01.35,04.02.29, , , ,
30183,04.01.36,04.02.30, , , ,
80284,04.01.37,04.02.31, , , ,
02275,04.01.38,04.02.32, , , ,
02278,04.01.39,04.02.33, , , ,
02281,04.01.40,04.02.34, , , ,
02280,04.01.41,04.02.35, , , ,
82004,04.01.42,04.02.36, , , ,
80286,04.01.43,04.02.37, , , ,
80287,04.01.44,04.02.38, , , ,
80288,04.01.45,04.02.39, , , ,
80289,04.01.46,04.02.40, , , ,
82005,04.01.47,04.02.41, , , ,
82006,04.01.48,04.02.42, , , ,
02290,04.01.49,04.02.43, , , ,
82836,04.01.50,..,..,..,..,new
82837,04.01.51,..,..,..,..,new
02293,04.01.52,04.02.46, , , ,
82838,04.01.53,..,..,..,..,new
82839,04.01.54,..,..,..,..,new
02296,04.01.55,04.02.47, , , ,
02297,04.01.56,..,04.01.56, , ,
80290,04.01.57,04.02.53, , , ,
80291,04.01.58,04.02.54, , , ,
