MasterID,BookID,Chapter,Section,Example,Video
00001,6et,01,01,01a,0
00002,6et,01,01,01b,0
00003,6et,01,01,02a,0
00004,6et,01,01,02b,0
00005,6et,01,01,03,0
00006,6et,01,01,04,0
00007,6et,01,01,05,1
00008,6et,01,01,06a,0
00009,6et,01,01,06b,0
00010,6et,01,01,07,1
00011,6et,01,01,08,0
00012,6et,01,01,09,0
00014,6et,01,01,10,0
00015,6et,01,01,11a,1
00016,6et,01,01,11b,1
00017,6et,01,01,11c,1
00018,6et,01,02,01a,1
00019,6et,01,02,01b,1
00020,6et,01,02,01c,1
00022,6et,01,02,02,1
00024,6et,01,02,03,1
00025,6et,01,02,04,0
00026,6et,01,02,05a,0
00027,6et,01,02,05b,0
00028,6et,01,02,05c,0
00029,6et,01,02,05d,0
00030,6et,01,03,01,1
00031,6et,01,03,02,0
00032,6et,01,03,03a,0
00033,6et,01,03,03b,0
00034,6et,01,03,04,0
00035,6et,01,03,05,1
00036,6et,01,03,06,0
00037,6et,01,03,07a,1
00038,6et,01,03,07b,1
00039,6et,01,03,07c,1
00040,6et,01,03,07d,1
00041,6et,01,03,08,0
00042,6et,01,03,09,0
00043,6et,01,04,01,0
00044,6et,01,04,02,0
00045,6et,01,04,03,0
00046,6et,01,04,04,1
00047,6et,01,04,05,1
00048,6et,01,04,06,0
00049,6et,01,04,07,0
00050,6et,01,04,08,1
00051,6et,01,04,09,0
00052,6et,01,05,01,0
00053,6et,01,05,02,1
00055,6et,01,05,03,1
00056,6et,01,05,04,0
00057,6et,01,06,01,1
00058,6et,01,06,02,1
00059,6et,01,06,03,1
00060,6et,01,06,04,1
00061,6et,01,06,05,0
00062,6et,01,06,06,0
00063,6et,01,06,07,0
00064,6et,01,06,08,0
00065,6et,01,06,09,1
00066,6et,01,06,10,0
00068,6et,01,06,11,0
00069,6et,01,06,12a,0
00070,6et,01,06,12b,0
00072,6et,01,06,13,0
00085,6et,01,PP,01,0
00086,6et,01,PP,02,0
